"year","nest","ring","sex","gps","age","bodymass","DateMito","TimeMito","CMR","OXPHOS","LEAK","ETS","FCR1","FCR2","FCR3","PFOA","PFHPS","PFNA","P37DMOA","PFOS","PFDA","PFUNA","PFDODA","FTS_10_2","PFTRIDA","PFTDA","PFHXS","PFDS","PFOSA","SUMPFAS","d13C","X.C","d15N","X.N","C_N","hg","Notes","d15N.Z","d13C.Z","age.Z","bodymass.Z","hg.Z","SUMPFAS.Z"
"2021","138","TH8902","Male","n",13,549,"8/6/2021","11:57:00 PM",337.025,13.42733333,20.27516667,69.82183333,0.060159236,0.290384335,4.82692854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.07,48.85408083,7.66,14.47291589,3.375552046,4.124597701,"",-1.04446653516053,-0.31615905101278,0.900307216054806,-0.871184252514843,-0.412271847734572,NA
"2021","138","TH8785","Female","n",17,545,"8/6/2021","11:57:00 PM",355.585,14.04033333,21.51816667,55.24533333,0.060514832,0.389501979,6.436471255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.1,47.56924861,7.84,14.51591465,3.277041079,4.56786859,"",-0.737424865276655,-0.442947770699141,2.07070659692605,-0.934609637367166,-0.178893085772463,NA
"2021","161","TB4674","Female","n",15,555,"7/28/2021","10:45:00 PM",294.7783333,195.65,99.12833333,399.1266667,0.336280934,0.248363093,0.738558352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.81,46.75057933,8.33,14.30588351,3.267926744,4.123,"",0.0984107916294481,0.782676519602318,1.48550690649043,-0.776046175236358,-0.413113025196523,NA
"2021","6","TH8956","Female","n",8,455,"8/6/2021","12:20:00 PM",273.1733333,13.58233333,13.735,36.474,0.050279432,0.376569611,7.489535925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.3,48.44875935,7.85,14.81581284,3.270070962,3.541589744,"",-0.720366994727551,-1.28820590194152,-0.562692010034254,-2.36168079654444,-0.719221116443979,NA
"2021","115_1","TH7257","Female","n",16,552,"8/1/2021","11:05:00 PM",350.26,253.17,97.09,591.14,0.277194084,0.164241973,0.592516155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.18,49.30976655,8.9,15.0315533,3.280417238,8.856,"",1.07070941292838,3.4452396330158,1.77810675170824,-0.823615213875601,2.0787755868857,NA
"2021","115_1","T75225","Male","n",14,632,"8/1/2021","11:05:00 PM",254.2933333,100.585,153.7083333,357.71,0.604452863,0.429700968,0.710892436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.67,48.27535162,8.97,14.7753744,3.267284491,6.608,"",1.19011450677211,1.37435721147197,1.19290706127262,0.444892483170862,0.895220632319707,NA
"2021","115_8","TL9671","Female","n",8,650,"8/4/2021","11:51:00 PM",256.1633333,19.68266667,5.933666667,44.57516667,0.023163607,0.133115973,5.746772306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.22,46.94294259,8,14.26296242,3.291247723,3.585966425,"",-0.464498936490988,-0.950102649444557,-0.562692010034254,0.730306715006316,-0.695857130383149,NA
"2021","115_8","TH8836","Male","n",7,660,"8/1/2021","11:18:00 PM",298.6433333,184.3466667,114.2966667,355.1766667,0.382719632,0.321802296,0.840830385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.01,48.20908305,8.98,14.53983119,3.315656311,5.172,"",1.20717237732122,-0.0625816116400719,-0.855291855252066,0.888870177137124,0.139177520773105,NA
"2021","180_6","TL5583","Female","n",10,535,"8/2/2021","11:10:00 PM",304.9716667,254.755,50.21666667,383.3566667,0.164660105,0.130992027,0.795529837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.96,47.97005826,7.79,14.37379606,3.337327041,5.05,"",-0.822714218022175,0.148732921170526,0.0225076804013701,-1.09317309949797,0.0749454458366944,NA
"2021","180_6","TL0298","Male","n",12,692,"8/2/2021","11:10:00 PM",168.3033333,116.41,51.89333333,226.5083333,0.308332178,0.22910121,0.743033737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.97,48.59546476,7.9,14.8327408,3.27622962,7.291,"",-0.635077641982029,0.106470014608415,0.607707370836994,1.39627325595571,1.2548149534801,NA
"2021","51_11","TM1369","Female","n",6,535,"8/6/2021","12:11:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.77,49.224023,8.72,15.22839725,3.232383697,4.452367512,"",0.76366774304451,0.95172814585079,-1.14789170046988,-1.09317309949797,-0.239703527553875,NA
"2021","51_3","TJ1654","Female","n",18,590,"7/29/2021","11:45:00 PM",186.68,116.5883333,70.09166667,268.5683333,0.375464253,0.260982618,0.695093117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.93,49.41364402,8.19,14.97460007,3.299830631,5.802,"",-0.140399396058011,0.275521640856887,2.36330644214387,-0.221074057778531,0.470867743805388,NA
"2021","51_6","TM1058","Female","n",7,560,"8/2/2021","11:00:00 PM",325.3883333,185.135,140.2533333,426.37,0.431033688,0.328947471,0.763159541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.63,48.56233942,8.8,14.79582993,3.282163937,7.885,"",0.900130707437343,1.54340883772046,-0.855291855252066,-0.696764444170955,1.56755144948197,NA
"2021","69_1","TE9658","Male","n",11,630,"7/29/2021","11:05:00 PM",297.02,194.3116667,102.7083333,378.9083333,0.345796018,0.271063802,0.783883525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.87,48.07842396,8.5,14.52002049,3.31118155,7.288,"",0.388394590964218,0.529099080229595,0.315107525619182,0.413179790744701,1.25323547622757,NA
"2021","79_1","TL9923","Female","n",7,580,"8/4/2021","12:45:00 PM",264.8466667,176.565,88.28166667,437.0683333,0.333331236,0.201985959,0.605961692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.39,48.08165377,7.62,14.56849249,3.30038635,2.581412467,"",-1.11269801735695,-1.66857206100059,-0.855291855252066,-0.379637519909339,-1.22474717225138,NA
"2021","79_1","TM1037","Male","n",7,630,"8/3/2021","12:15:00 PM",231.35,202.4325,28.9175,408.7175,0.124994597,0.070751803,0.56603889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.64,48.2822997,9,14.219673,3.395457806,7.609,"",1.24128811841942,1.50114593115833,-0.855291855252066,0.413179790744701,1.42223954224878,NA
"2021","8_12","TK7458","Female","n",13,585,"7/30/2021","11:00:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.05,49.4097119,8.2,15.03642301,3.286001721,4.731,"",-0.123341525508907,-0.231633237888544,0.900307216054806,-0.300355788843935,-0.0930056353494937,NA
"2021","8_12","TL7361","Male","n",9,635,"7/30/2021","11:00:00 PM",324.57,236.9883333,87.58166667,475.2633333,0.269839069,0.184280294,0.682926658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.68,48.48426402,8.35,14.74841183,3.287422712,5.729,"",0.132526532727656,1.33209430490986,-0.270092164816442,0.492461521810104,0.432433797327045,NA
"2021","8_16","TM1075","Male","n",7,660,"7/30/2021","10:52:00 PM",336.1616667,228.615,107.5466667,600.1966667,0.319925433,0.179185711,0.560085861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.63,48.62095083,8.97,14.8326027,3.27797837,4.636,"",1.19011450677211,1.54340883772046,-0.855291855252066,0.888870177137124,-0.143022415013092,NA
"2021","8_3","TL0350","Female","n",12,515,"7/30/2021","11:18:00 PM",301.8766667,219.42,82.45666667,494.74,0.27314687,0.166666667,0.610172346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.12,48.94498331,7.64,14.97865513,3.267648724,3.791,"",-1.07858227625874,-0.527473583823377,0.607707370836994,-1.41030002375959,-0.587908507810361,NA
"2021","80_1","TL5393","Female","n",10,550,"7/28/2021","11:10:00 PM",260.82,186.8983333,73.92166667,255.24,0.283420239,0.289616309,1.021861777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.27,48.06339926,7.94,14.66173347,3.27815257,5.162,"",-0.566846159785612,-1.16141718225515,0.0225076804013701,-0.855327906301762,0.133912596597989,NA
"2021","80_1","TH5984","Male","n",16,550,"7/28/2021","11:10:00 PM",294.78,200.215,94.565,347.605,0.320798562,0.272047295,0.84803153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.5,48.72055351,9.98,14.90894596,3.267873775,11.761,"",2.91295943223163,2.092826623028,1.77810675170824,-0.855327906301762,3.60823605975678,NA
"2021","161_2","TM1382","Female","n",7,525,"8/2/2021","11:25:00 PM",230.26,151.8733333,78.38666667,258.0222222,0.340426764,0.303798122,0.892403755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.09,43.70376538,7.63,13.00943915,3.359388892,1.957,"",-1.09564014680784,-0.400684864137016,-0.855291855252066,-1.25173656162878,-1.55349560152657,NA
